Account Number,Meter ID,Facility,Tariff,Start Date,End Date,Consumption,Unit,Cost,Currency
ACC-PUN-001,MTR-001A,Pune Plant,Industrial HT,14/12/2023,13/01/2024,187420,kWh,1312940,INR
ACC-PUN-001,MTR-001A,Pune Plant,Industrial HT,14/01/2024,13/02/2024,201850,kWh,1412950,INR
ACC-PUN-001,MTR-001A,Pune Plant,Industrial HT,14/02/2024,13/03/2024,195300,kWh,1367100,INR
ACC-PUN-001,MTR-001A,Pune Plant,Industrial HT,14/03/2024,13/04/2024,210470,kWh,1473290,INR
ACC-BLR-001,MTR-002A,Bengaluru Office,Commercial LT,14/12/2023,13/01/2024,32150,kWh,225050,INR
ACC-BLR-001,MTR-002A,Bengaluru Office,Commercial LT,14/01/2024,13/02/2024,29870,kWh,209090,INR
ACC-BLR-001,MTR-002A,Bengaluru Office,Commercial LT,14/02/2024,13/03/2024,31200,kWh,218400,INR
ACC-BLR-001,MTR-002A,Bengaluru Office,Commercial LT,14/03/2024,13/04/2024,33450,kWh,234150,INR
ACC-MUM-001,MTR-003A,Mumbai Logistics Hub,Industrial HT,14/12/2023,13/01/2024,540200,kWh,3781400,INR
ACC-MUM-001,MTR-003A,Mumbai Logistics Hub,Industrial HT,14/01/2024,13/02/2024,610350,kWh,4272450,INR
ACC-MUM-001,MTR-003A,Mumbai Logistics Hub,Industrial HT,14/02/2024,13/03/2024,588700,kWh,4120900,INR
ACC-MUM-001,MTR-003A,Mumbai Logistics Hub,Industrial HT,14/03/2024,13/04/2024,625900,kWh,4381300,INR
ACC-MUM-002,MTR-003B,Mumbai Logistics Hub,Industrial HT,14/01/2024,13/02/2024,1850,MWh,12950000,INR
ACC-BLR-002,MTR-002B,Bengaluru Office,Solar Net Metering,14/01/2024,13/02/2024,-4200,kWh,0,INR
ACC-PUN-001,MTR-001A,Pune Plant,Industrial HT,14/04/2024,13/04/2024,195000,kWh,1365000,INR
